pollster,state,party,hypothetical,end_date,duration,numeric_grade,pollscore,transparency_score,candidate_name,pct
Redfield & Wilton Strategies,North Carolina,LIB,FALSE,2024-10-31,3,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,North Carolina,GRE,FALSE,2024-10-31,3,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Pennsylvania,DEM,FALSE,2024-10-31,3,1.8,0.4,9,Kamala Harris,48
Redfield & Wilton Strategies,Pennsylvania,REP,FALSE,2024-10-31,3,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Pennsylvania,LIB,FALSE,2024-10-31,3,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Pennsylvania,GRE,FALSE,2024-10-31,3,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Wisconsin,DEM,FALSE,2024-10-31,3,1.8,0.4,9,Kamala Harris,48
Redfield & Wilton Strategies,Wisconsin,REP,FALSE,2024-10-31,3,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Wisconsin,LIB,FALSE,2024-10-31,3,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Wisconsin,GRE,FALSE,2024-10-31,3,1.8,0.4,9,Jill Stein,0
Keating Research,Colorado,DEM,FALSE,2024-10-30,2,1.5,0.1,3,Kamala Harris,53
Keating Research,Colorado,REP,FALSE,2024-10-30,2,1.5,0.1,3,Donald Trump,41
RABA Research,National,DEM,FALSE,2024-10-29,0,1.3,0.6,7,Kamala Harris,48
RABA Research,National,REP,FALSE,2024-10-29,0,1.3,0.6,7,Donald Trump,44
Big Data Poll,National,DEM,FALSE,2024-10-29,2,1.1,0.2,7,Kamala Harris,49.7
Big Data Poll,National,REP,FALSE,2024-10-29,2,1.1,0.2,7,Donald Trump,50.3
Big Data Poll,National,DEM,FALSE,2024-10-29,2,1.1,0.2,7,Kamala Harris,49.9
Big Data Poll,National,REP,FALSE,2024-10-29,2,1.1,0.2,7,Donald Trump,50.1
Big Data Poll,National,DEM,FALSE,2024-10-29,2,1.1,0.2,7,Kamala Harris,47.3
Big Data Poll,National,REP,FALSE,2024-10-29,2,1.1,0.2,7,Donald Trump,48
Big Data Poll,National,LIB,FALSE,2024-10-29,2,1.1,0.2,7,Chase Oliver,1.8
Big Data Poll,National,IND,FALSE,2024-10-29,2,1.1,0.2,7,Cornel West,0.6
Big Data Poll,National,GRE,FALSE,2024-10-29,2,1.1,0.2,7,Jill Stein,1.2
Big Data Poll,National,DEM,FALSE,2024-10-29,2,1.1,0.2,7,Kamala Harris,46.8
Big Data Poll,National,REP,FALSE,2024-10-29,2,1.1,0.2,7,Donald Trump,47
Big Data Poll,National,LIB,FALSE,2024-10-29,2,1.1,0.2,7,Chase Oliver,1.8
Big Data Poll,National,IND,FALSE,2024-10-29,2,1.1,0.2,7,Cornel West,1.1
Big Data Poll,National,GRE,FALSE,2024-10-29,2,1.1,0.2,7,Jill Stein,2
J.L. Partners,National,DEM,TRUE,2024-10-29,3,1.6,0.2,6,Kamala Harris,46
J.L. Partners,National,REP,TRUE,2024-10-29,3,1.6,0.2,6,Donald Trump,49
J.L. Partners,National,IND,TRUE,2024-10-29,3,1.6,0.2,6,Robert F. Kennedy,1
J.L. Partners,National,GRE,TRUE,2024-10-29,3,1.6,0.2,6,Jill Stein,1
J.L. Partners,National,LIB,TRUE,2024-10-29,3,1.6,0.2,6,Chase Oliver,1
J.L. Partners,National,IND,TRUE,2024-10-29,3,1.6,0.2,6,Cornel West,0
J.L. Partners,National,DEM,FALSE,2024-10-29,3,1.6,0.2,6,Kamala Harris,47
J.L. Partners,National,REP,FALSE,2024-10-29,3,1.6,0.2,6,Donald Trump,50
Redfield & Wilton Strategies,Arizona,DEM,FALSE,2024-10-27,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Arizona,REP,FALSE,2024-10-27,2,1.8,0.4,9,Donald Trump,49
Redfield & Wilton Strategies,Arizona,LIB,FALSE,2024-10-27,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Arizona,GRE,FALSE,2024-10-27,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Georgia,DEM,FALSE,2024-10-27,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Georgia,REP,FALSE,2024-10-27,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Georgia,LIB,FALSE,2024-10-27,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Georgia,GRE,FALSE,2024-10-27,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Michigan,DEM,FALSE,2024-10-27,2,1.8,0.4,9,Kamala Harris,49
Redfield & Wilton Strategies,Michigan,REP,FALSE,2024-10-27,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Michigan,LIB,FALSE,2024-10-27,2,1.8,0.4,9,Chase Oliver,0
Redfield & Wilton Strategies,Michigan,GRE,FALSE,2024-10-27,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Nevada,DEM,FALSE,2024-10-27,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Nevada,REP,FALSE,2024-10-27,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Nevada,LIB,FALSE,2024-10-27,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Nevada,GRE,FALSE,2024-10-27,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,North Carolina,DEM,FALSE,2024-10-27,2,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,North Carolina,REP,FALSE,2024-10-27,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,North Carolina,LIB,FALSE,2024-10-27,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,North Carolina,GRE,FALSE,2024-10-27,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Pennsylvania,DEM,FALSE,2024-10-27,2,1.8,0.4,9,Kamala Harris,48
Redfield & Wilton Strategies,Pennsylvania,REP,FALSE,2024-10-27,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Pennsylvania,LIB,FALSE,2024-10-27,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Pennsylvania,GRE,FALSE,2024-10-27,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Wisconsin,DEM,FALSE,2024-10-27,2,1.8,0.4,9,Kamala Harris,49
Redfield & Wilton Strategies,Wisconsin,REP,FALSE,2024-10-27,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Wisconsin,LIB,FALSE,2024-10-27,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Wisconsin,GRE,FALSE,2024-10-27,2,1.8,0.4,9,Jill Stein,0
RABA Research,Arizona,DEM,FALSE,2024-10-27,2,1.3,0.6,7,Kamala Harris,45
RABA Research,Arizona,REP,FALSE,2024-10-27,2,1.3,0.6,7,Donald Trump,43
University of Wyoming,Wyoming,DEM,FALSE,2024-10-27,33,0.6,1.2,2,Kamala Harris,28.4
University of Wyoming,Wyoming,REP,FALSE,2024-10-27,33,0.6,1.2,2,Donald Trump,63.4
Patriot Polling,Michigan,DEM,FALSE,2024-10-26,2,1.1,0.6,5,Kamala Harris,49
Patriot Polling,Michigan,REP,FALSE,2024-10-26,2,1.1,0.6,5,Donald Trump,50
North Star Opinion Research,Pennsylvania,DEM,FALSE,2024-10-26,4,1.1,0.3,3,Kamala Harris,47
North Star Opinion Research,Pennsylvania,REP,FALSE,2024-10-26,4,1.1,0.3,3,Donald Trump,47
North Star Opinion Research,Pennsylvania,LIB,FALSE,2024-10-26,4,1.1,0.3,3,Chase Oliver,1
North Star Opinion Research,Pennsylvania,GRE,FALSE,2024-10-26,4,1.1,0.3,3,Jill Stein,1
Big Village,National,DEM,FALSE,2024-10-23,5,1.2,1.7,9,Kamala Harris,46.2
Big Village,National,REP,FALSE,2024-10-23,5,1.2,1.7,9,Donald Trump,41.1
Big Village,National,DEM,FALSE,2024-10-23,5,1.2,1.7,9,Kamala Harris,49
Big Village,National,REP,FALSE,2024-10-23,5,1.2,1.7,9,Donald Trump,43.2
Big Village,National,DEM,FALSE,2024-10-23,5,1.2,1.7,9,Kamala Harris,51.6
Big Village,National,REP,FALSE,2024-10-23,5,1.2,1.7,9,Donald Trump,45
Redfield & Wilton Strategies,Arizona,DEM,FALSE,2024-10-22,2,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,Arizona,REP,FALSE,2024-10-22,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Arizona,LIB,FALSE,2024-10-22,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Arizona,GRE,FALSE,2024-10-22,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Georgia,DEM,FALSE,2024-10-22,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Georgia,REP,FALSE,2024-10-22,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Georgia,LIB,FALSE,2024-10-22,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Georgia,GRE,FALSE,2024-10-22,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Michigan,DEM,FALSE,2024-10-22,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Michigan,REP,FALSE,2024-10-22,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Michigan,LIB,FALSE,2024-10-22,2,1.8,0.4,9,Chase Oliver,0
Redfield & Wilton Strategies,Michigan,GRE,FALSE,2024-10-22,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Nevada,DEM,FALSE,2024-10-22,2,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,Nevada,REP,FALSE,2024-10-22,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Nevada,LIB,FALSE,2024-10-22,2,1.8,0.4,9,Chase Oliver,0
Redfield & Wilton Strategies,Nevada,GRE,FALSE,2024-10-22,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,North Carolina,DEM,FALSE,2024-10-22,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,North Carolina,REP,FALSE,2024-10-22,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,North Carolina,LIB,FALSE,2024-10-22,2,1.8,0.4,9,Chase Oliver,0
Redfield & Wilton Strategies,North Carolina,GRE,FALSE,2024-10-22,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Pennsylvania,DEM,FALSE,2024-10-22,2,1.8,0.4,9,Kamala Harris,48
Redfield & Wilton Strategies,Pennsylvania,REP,FALSE,2024-10-22,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Pennsylvania,LIB,FALSE,2024-10-22,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Pennsylvania,GRE,FALSE,2024-10-22,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Wisconsin,DEM,FALSE,2024-10-22,2,1.8,0.4,9,Kamala Harris,49
Redfield & Wilton Strategies,Wisconsin,REP,FALSE,2024-10-22,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Wisconsin,LIB,FALSE,2024-10-22,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Wisconsin,GRE,FALSE,2024-10-22,2,1.8,0.4,9,Jill Stein,0
Embold Research,Minnesota,DEM,FALSE,2024-10-22,6,1.4,0.6,6,Kamala Harris,47.7
Embold Research,Minnesota,REP,FALSE,2024-10-22,6,1.4,0.6,6,Donald Trump,45.1
Redfield & Wilton Strategies,National,DEM,FALSE,2024-10-21,0,1.8,0.4,9,Kamala Harris,45
Redfield & Wilton Strategies,National,REP,FALSE,2024-10-21,0,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,National,LIB,FALSE,2024-10-21,0,1.8,0.4,9,Chase Oliver,2
Redfield & Wilton Strategies,National,GRE,FALSE,2024-10-21,0,1.8,0.4,9,Jill Stein,1
University of Texas at Tyler,Texas,DEM,FALSE,2024-10-21,7,1.8,0.1,8.5,Kamala Harris,46
University of Texas at Tyler,Texas,REP,FALSE,2024-10-21,7,1.8,0.1,8.5,Donald Trump,51
University of Texas at Tyler,Texas,GRE,FALSE,2024-10-21,7,1.8,0.1,8.5,Jill Stein,1
University of Texas at Tyler,Texas,LIB,FALSE,2024-10-21,7,1.8,0.1,8.5,Chase Oliver,1
Redfield & Wilton Strategies,Arizona,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,Arizona,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,49
Redfield & Wilton Strategies,Arizona,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Arizona,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Florida,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,45
Redfield & Wilton Strategies,Florida,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,49
Redfield & Wilton Strategies,Florida,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Florida,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Michigan,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Michigan,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Michigan,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Michigan,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Nevada,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,Nevada,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Nevada,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Nevada,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Wisconsin,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Wisconsin,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,46
Redfield & Wilton Strategies,Wisconsin,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Wisconsin,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,North Carolina,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,45
Redfield & Wilton Strategies,North Carolina,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,North Carolina,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,0
Redfield & Wilton Strategies,North Carolina,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Georgia,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Georgia,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Georgia,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Georgia,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Pennsylvania,DEM,FALSE,2024-10-18,2,1.8,0.4,9,Kamala Harris,48
Redfield & Wilton Strategies,Pennsylvania,REP,FALSE,2024-10-18,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Pennsylvania,LIB,FALSE,2024-10-18,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Pennsylvania,GRE,FALSE,2024-10-18,2,1.8,0.4,9,Jill Stein,0
MSU - Billings,Montana,DEM,TRUE,2024-10-16,16,1.5,0.3,7,Kamala Harris,34
MSU - Billings,Montana,REP,TRUE,2024-10-16,16,1.5,0.3,7,Donald Trump,52
MSU - Billings,Montana,LIB,TRUE,2024-10-16,16,1.5,0.3,7,Chase Oliver,2
MSU - Billings,Montana,GRE,TRUE,2024-10-16,16,1.5,0.3,7,Jill Stein,1
MSU - Billings,Montana,IND,TRUE,2024-10-16,16,1.5,0.3,7,Robert F. Kennedy,3
Fort Hays State University,Kansas,DEM,FALSE,2024-10-16,20,0.9,1,8,Kamala Harris,39.4
Fort Hays State University,Kansas,REP,FALSE,2024-10-16,20,0.9,1,8,Donald Trump,49.9
Fort Hays State University,Kansas,DEM,FALSE,2024-10-16,20,0.9,1,8,Kamala Harris,43.2
Fort Hays State University,Kansas,REP,FALSE,2024-10-16,20,0.9,1,8,Donald Trump,48.2
Patriot Polling,Wisconsin,DEM,FALSE,2024-10-14,2,1.1,0.6,5,Kamala Harris,49
Patriot Polling,Wisconsin,REP,FALSE,2024-10-14,2,1.1,0.6,5,Donald Trump,50
Redfield & Wilton Strategies,North Carolina,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,North Carolina,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,North Carolina,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,North Carolina,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Arizona,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,Arizona,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Arizona,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Arizona,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Florida,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,44
Redfield & Wilton Strategies,Florida,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,50
Redfield & Wilton Strategies,Florida,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,0
Redfield & Wilton Strategies,Florida,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Georgia,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Georgia,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Georgia,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Georgia,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,2
Redfield & Wilton Strategies,Michigan,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Michigan,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Michigan,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Michigan,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Minnesota,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,51
Redfield & Wilton Strategies,Minnesota,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,43
Redfield & Wilton Strategies,Minnesota,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,0
Redfield & Wilton Strategies,Minnesota,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Nevada,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Nevada,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Nevada,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Nevada,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,New Mexico,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,49
Redfield & Wilton Strategies,New Mexico,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,45
Redfield & Wilton Strategies,New Mexico,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,New Mexico,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,2
Redfield & Wilton Strategies,Pennsylvania,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,48
Redfield & Wilton Strategies,Pennsylvania,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Pennsylvania,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Pennsylvania,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Wisconsin,DEM,FALSE,2024-10-14,2,1.8,0.4,9,Kamala Harris,48
Redfield & Wilton Strategies,Wisconsin,REP,FALSE,2024-10-14,2,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Wisconsin,LIB,FALSE,2024-10-14,2,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Wisconsin,GRE,FALSE,2024-10-14,2,1.8,0.4,9,Jill Stein,1
MRG (Marketing Resource Group),Michigan,DEM,TRUE,2024-10-11,4,1.8,0.1,6,Kamala Harris,44.9
MRG (Marketing Resource Group),Michigan,REP,TRUE,2024-10-11,4,1.8,0.1,6,Donald Trump,44
MRG (Marketing Resource Group),Michigan,IND,TRUE,2024-10-11,4,1.8,0.1,6,Robert F. Kennedy,2.6
MRG (Marketing Resource Group),Michigan,GRE,TRUE,2024-10-11,4,1.8,0.1,6,Jill Stein,2.1
MRG (Marketing Resource Group),Michigan,IND,TRUE,2024-10-11,4,1.8,0.1,6,Cornel West,0.5
MRG (Marketing Resource Group),Michigan,IND,TRUE,2024-10-11,4,1.8,0.1,6,Joseph Kishore,0
MRG (Marketing Resource Group),Michigan,CON,TRUE,2024-10-11,4,1.8,0.1,6,Randall A. Terry,0
MRG (Marketing Resource Group),Michigan,LIB,TRUE,2024-10-11,4,1.8,0.1,6,Chase Oliver,1.2
Redfield & Wilton Strategies,Georgia,DEM,FALSE,2024-10-09,1,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Georgia,REP,FALSE,2024-10-09,1,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Georgia,LIB,FALSE,2024-10-09,1,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Georgia,GRE,FALSE,2024-10-09,1,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Pennsylvania,DEM,FALSE,2024-10-09,1,1.8,0.4,9,Kamala Harris,46
Redfield & Wilton Strategies,Pennsylvania,REP,FALSE,2024-10-09,1,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Pennsylvania,LIB,FALSE,2024-10-09,1,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Pennsylvania,GRE,FALSE,2024-10-09,1,1.8,0.4,9,Jill Stein,0
Change Research,National,DEM,FALSE,2024-10-09,6,1.4,0.6,5,Kamala Harris,46
Change Research,National,REP,FALSE,2024-10-09,6,1.4,0.6,5,Donald Trump,46
co/efficient,National,DEM,FALSE,2024-10-08,2,1.1,0.3,5,Kamala Harris,49
co/efficient,National,REP,FALSE,2024-10-08,2,1.1,0.3,5,Donald Trump,47
J.L. Partners,Pennsylvania,DEM,FALSE,2024-10-08,3,1.6,0.2,6,Kamala Harris,47
J.L. Partners,Pennsylvania,REP,FALSE,2024-10-08,3,1.6,0.2,6,Donald Trump,47
J.L. Partners,Pennsylvania,LIB,FALSE,2024-10-08,3,1.6,0.2,6,Chase Oliver,1
J.L. Partners,Pennsylvania,GRE,FALSE,2024-10-08,3,1.6,0.2,6,Jill Stein,1
Targoz Market Research,Tennessee,DEM,TRUE,2024-10-08,11,1.8,0.1,7,Kamala Harris,35
Targoz Market Research,Tennessee,REP,TRUE,2024-10-08,11,1.8,0.1,7,Donald Trump,54
